label,area_pixels,area_scaled,equivalent_diameter,perimeter,circularity,width,height,aspect_ratio,centroid_x,centroid_y,eccentricity,solidity,extent
130,7296.0,7296.0,96.38234132032562,385.1614716074871,0.6180292283706874,114.0,97.0,1.175257731958763,1550.9303728070176,588.9280427631579,0.7643481365002426,0.9018541409147095,0.6597938144329897
131,24156.0,24156.0,175.37495386349383,734.1635636485402,0.5631826038314746,214.0,172.0,1.244186046511628,1146.361732074847,609.8265441298228,0.6845470854244692,0.8871749669457911,0.6562703760052162
132,2797.0,2797.0,59.676218099208086,252.00714267493643,0.5534477547718879,69.0,72.0,1.0434782608695652,1618.4340364676439,590.6953879156239,0.7472320447630512,0.8910481044918764,0.5630032206119162
133,3397.0,3397.0,65.76621270428568,254.75230867899737,0.6577625664417847,63.0,79.0,1.253968253968254,1392.0017662643509,600.8248454518694,0.621246108205857,0.9191017316017316,0.6825396825396826
134,3633.0,3633.0,68.01234642344613,289.4213562373095,0.5450221006377404,63.0,102.0,1.619047619047619,1438.224057252959,623.6476740985412,0.7812093923224992,0.8347886029411765,0.565359477124183
135,3996.0,3996.0,71.32927323870412,291.5218613006979,0.5908715604545298,93.0,80.0,1.1625,2223.6781781781783,608.3581081081081,0.7492311068893694,0.8113705583756345,0.5370967741935484
136,55.0,55.0,8.368283871884005,54.207106781186546,0.23521233717774268,54.0,2.0,27.0,2193.981818181818,623.0181818181818,0.9999662200585627,0.6790123456790124,0.5092592592592593
137,3082.0,3082.0,62.64283100941218,231.6223663640862,0.7219074270318782,85.0,54.0,1.5740740740740742,2208.2683322517846,647.2394548994159,0.8329832511269465,0.9649342517219787,0.6714596949891067
138,6178.0,6178.0,88.69088965262348,387.93102422918764,0.5158800602054877,118.0,88.0,1.3409090909090908,1861.571706053739,641.5564907737132,0.836702727349581,0.8992721979621543,0.5949537750385208
139,5149.0,5149.0,80.96857671863421,315.6223663640862,0.6495270056564114,64.0,110.0,1.71875,1649.5416585744804,645.2256748883278,0.8341196679261431,0.913267115998581,0.7313920454545455
140,5868.0,5868.0,86.43708491443898,376.5929291125633,0.5199428929538134,65.0,124.0,1.9076923076923078,2284.4676209952286,649.1048057259713,0.8693415343184892,0.9019366738395327,0.7280397022332507
141,5929.0,5929.0,86.88519586635447,334.59292911256335,0.665514920599697,62.0,116.0,1.8709677419354838,1703.026986001012,641.26480013493,0.8518359804904502,0.9654779351897085,0.8243882091212458
142,6893.0,6893.0,93.68265678266962,372.47518010647184,0.6243433134032904,104.0,100.0,1.04,827.3130712316843,657.0554185405484,0.4987951585374163,0.9131010729897999,0.6627884615384615
143,7786.0,7786.0,99.56627488918112,363.9066376115481,0.738829638648444,77.0,129.0,1.6753246753246753,296.55458515283846,660.8989211405086,0.7915782215899378,0.9721563241353477,0.783851807107621
144,4867.0,4867.0,78.72011727777111,300.4446968344225,0.6775512095991102,65.0,101.0,1.5538461538461539,367.764125744812,670.2348469282925,0.7559398390417967,0.9397567097895346,0.7413556740289413
145,4555.0,4555.0,76.1551451070029,355.39801564019655,0.4531774049136559,108.0,82.0,1.3170731707317074,1590.9082327113063,660.889571899012,0.7781010812449771,0.8466542750929368,0.5143405600722674
146,1042.0,1042.0,36.424107478619696,225.55634918610403,0.25737565795732176,11.0,106.0,9.636363636363637,336.0,667.2476007677543,0.9954214106600972,0.9515981735159817,0.8936535162950258
147,20450.0,20450.0,161.36216622812822,667.5533905932738,0.5766750529788832,178.0,173.0,1.0289017341040463,169.89427872860637,685.0203422982885,0.6274102197373412,0.9190185151896458,0.6640904072221862
148,22047.0,22047.0,167.54435903000774,720.4062043356595,0.5338318447632758,150.0,218.0,1.4533333333333334,731.436476618134,724.1275910554724,0.8020577991211177,0.9002082397615451,0.6742201834862386
149,12792.0,12792.0,127.62162926499646,541.1452736853106,0.5489345615736451,173.0,133.0,1.300751879699248,1800.6556441525954,698.437617260788,0.6070579088013016,0.89875641115717,0.555956364900691
150,7924.0,7924.0,100.44476169756904,398.9604614807104,0.6255969399763788,131.0,101.0,1.297029702970297,1952.9304644119131,704.1229177183241,0.6856229215686002,0.8774222123795814,0.5988965308744615
